portal,title,description,url,datetime
globo,"A técnica de Feynman, o método de estudo criado por Nobel para aprender qualquer coisa",O físico americano era conhecido por conseguir explicar assuntos muito complexos em termos bastante simples.,https://g1.globo.com/educacao/noticia/2024/12/07/a-tecnica-de-feynman-o-metodo-de-estudo-criado-por-nobel-para-aprender-qualquer-coisa.ghtml,2024-12-07 20:09:32+00:00
globo,Como a polêmica do assento no avião nos ensina a lidar com as frustrações das crianças,"
Especialistas em desenvolvimento infantil afirmam que os pais precisam saber agir em situações de estresse e validar os sentimentos das crianças, sem deixar de explicar limites e regras",https://g1.globo.com/educacao/noticia/2024/12/06/como-a-polemica-do-assento-no-aviao-nos-ensina-a-lidar-com-as-frustracoes-das-criancas.ghtml,2024-12-06 20:50:24+00:00
globo,Curso de Engenharia Ferroviária da UFSC tem um único inscrito para o vestibular; conheça o candidato,"João Francisco Rubbo Nobre tem 18 anos e acredita que uma boa estrutura ferroviária é fundamental para o desenvolvimento de um país. Natural de Valinhos (SP), ele vai fazer vestibular em Joinville. ",https://g1.globo.com/sc/santa-catarina/noticia/2024/12/05/unico-inscrito-engenharia-ferroviaria-ufsc.ghtml,2024-12-05 07:20:14+00:00
globo,Quase 500 detentos do AC vão fazer provas do Enem para pessoas privadas de liberdade,"Exame será aplicado nos dias 10 e 11 de dezembro. Preparação, segundo o Iapen, conta com material didático, vídeos e aulas duas vezes por semana.",https://g1.globo.com/ac/acre/noticia/2024/12/04/quase-500-detentos-do-ac-vao-fazer-provas-do-enem-para-pessoas-privadas-de-liberdade.ghtml,2024-12-04 15:44:29+00:00
globo,"Metade dos alunos brasileiros de 9 anos não sabe resolver tabuada e contas como ‘109 + 212’, mostra estudo internacional","É a 1ª participação do Brasil no Estudo Internacional de Tendências em Matemática e Ciências (Timss, na sigla em inglês). Entre jovens de 13 anos, 62% não conhecem formas geométricas básicas. ",https://g1.globo.com/educacao/noticia/2024/12/04/metade-dos-alunos-brasileiros-de-9-anos-nao-sabe-resolver-tabuada-ou-contas-como-100-210-mostra-estudo-internacional.ghtml,2024-12-04 09:01:38+00:00
globo,Falha na Matrix? Efeito 'misterioso' de pedra caindo na água viraliza nas redes sociais; entenda 'segredo',"Segundo professores de química ouvidos pelo g1, dois conceitos podem explicar a impressão de que o rio é 'elástico': tensão superficial e fluido não newtoniano (com uma ajudinha técnica na edição, provavelmente). ",https://g1.globo.com/educacao/noticia/2024/12/03/falha-na-matrix-efeito-misterioso-de-pedra-caindo-na-agua-viraliza-nas-redes-sociais-entenda-segredo.ghtml,2024-12-03 08:03:36+00:00
globo,'Quem quer ser um milionário': entenda o contexto por trás da pergunta de R$ 1 milhão sobre fotografia,"Pergunta do quadro do 'Domingão com Huck' era sobre o ano da primeira fotografia. Entenda por que a resposta correta era 1826, na França.",https://g1.globo.com/educacao/noticia/2024/12/03/quem-quer-ser-um-milionario-entenda-o-contexto-por-tras-da-pergunta-de-r-1-milhao-sobre-fotografia.ghtml,2024-12-03 06:00:21+00:00
globo,Estudantes brasileiros de medicina na Argentina abandonam país após aumento do preço das faculdades,"Milhares de alunos brasileiros foram pegos de surpresa por aumentos acima da inflação anunciados pelo governo Milei. Enquanto alguns voltam para o Brasil, outros vão para o Paraguai.",https://g1.globo.com/educacao/noticia/2024/12/02/estudantes-brasileiros-de-medicina-na-argentina-abandonam-pais-apos-aumento-do-preco-das-faculdades.ghtml,2024-12-02 18:53:15+00:00
globo,'Quem quer ser um milionário?': faça o quiz e descubra se acertaria todas as perguntas ou iria para casa sem nada,"O metalúrgico Clécio Melo teve a chance de garantir o prêmio de R$ 1 milhão, mas desistiu na pergunta final e levou R$ 500 mil.",https://g1.globo.com/educacao/noticia/2024/12/02/quem-quer-ser-um-milionario-descubra-se-acertaria-todas-as-perguntas.ghtml,2024-12-02 18:45:31+00:00
globo,FOTOS: segundo dia da 2ª fase do vestibular da Unicamp 2025,Candidatos fazem prova de questões específicas nesta segunda-feira. Veja como foi a movimentação em Campinas. ,https://g1.globo.com/sp/campinas-regiao/educacao/noticia/2024/12/02/fotos-segundo-dia-da-2a-fase-do-vestibular-da-unicamp-2025.ghtml,2024-12-02 13:30:59+00:00
