name,url,state,city,"sitemap_posts_url (sem data, index, webstories)",Google News Sitemap URL,rss_url (se presente),paywall
A Tribuna - Santos,https://www.atribuna.com.br/,,,,,,
ZONA LESTE NEWS,http://zonalestenews.com.br,SP,São Paulo,,,,
Rádio Band 101.1 FM - Cuiabá,http://zoeweb.net:8010,,,,,,
BLOG HOMENS DE VÍCIOS ANTIGOS (ZEMA RIBEIRO),http://zemaribeiro.farofafa.com.br,MA,São Luís,,,,
Yes Mania,http://yesmania.com.br,,,,,,
NotíciasNet,http://xn--notcia-5va.net,,,,,,
JORNAL ACONTECE,http://xn--jornalaconteceopinio-7yb.com.br,SP,Peruíbe,,,,
Folha de S. Paulo - Blogs,http://xdesexo.blogfolha.uol.com.br,,,,,,
Sistema FIEMG,http://www7.fiemg.com.br,,,,,,
Tribunal de Justiça do Estado da Bahia - Notícia,http://www5.tjba.jus.br,,,,,,
Folha Digital Online,http://www4.folhape.com.br,,,,,,
Canal Executivo,http://www2.uol.com.br,,,,,,
Prefeitura de Tatuí,http://www2.tatui.sp.gov.br,,,,,,
Faesc/sc,http://www2.senar.com.br,,,,,,
Prefeitura de Santo André,http://www2.santoandre.sp.gov.br,,,,,,
Rede Bom dia Região do ABCD,http://www2.redebomdia.com.br,,,,,,
RÁDIO T,http://www2.radiot.com.br,PR,Ponta Grossa,,,,
Prefeitura Municipal de Lençóis Paulista,http://www2.lencoispaulista.sp.gov.br,,,,,,
Jornal Interior online,http://www2.jornalinterior.com.br,,,,,,
Portal Rádio Comunitária,http://www2.comunitaria.com.br,,,,,,
Prefeitura Municipal de Bauru,http://www2.bauru.sp.gov.br,,,,,,
Portal FIEC Ceará,http://www1.sfiec.org.br,,,,,,
Blog Painel - Folha.com,http://www1.folha.uol.com.br,,,,,,
ZunZunZum PE,http://www.zzzpe.com.br,,,,,,
Zone.com.br,http://www.zone.com.br,,,,,,
Zona Sul Guia,http://www.zonasulguia.com.br,,,,,,
Blog do Zé Dirceu,http://www.zedirceu.com.br,,,,,,
Portal Yescom,http://www.yescom.com.br,,,,,,
Yahoo Notícias,http://www.yahoonoticias.tk,,,,,,
EXPRESSÃO CAIÇARA,http://www.xn--jornalexpressocaicara-v1b.com.br,SP,São Sebastião,,,,
WWF Brasil - Notícias,http://www.wwf.org.br,,,,,,
Wow Magazine,http://www.wowmagazine.com.br,,,,,,
World Surf League,http://www.worldsurfleague.com,,,,,,
Wireless Mundi,http://www.wirelessmundi.inf.br,,,,,,
WILSON COELHO,http://www.wilsoncoelho.com.br,TO,Palmas,,,,
PENACHINHO NEWS,http://www.williandavi.com.br,BA,Boa Nova,,,,
Whow!,http://www.whow.com.br,,,,,,
WGSN,http://www.wgsn.com,,,,,,
WEB TV NACIONAL,http://www.webtvnacional.com,AL,Palmeira dos Índios,,,,
Webtranspo,http://www.webtranspo.com.br,,,,,,
RÁDIO COMUNITÁRIA WEB RÁDIO UNIÃO,http://www.webradiouniao.com,CE,Madalena,,,,
WEB RÁDIO TOP DE MINAS,http://www.webradiotopdeminas.com.br,MG,Serrania,,,,
RÁDIO WEB PIABANHA,http://www.webradiopiabanha.com,RJ,Areal,,,,
RADIO MARCO ZERO LTDA,http://www.webradiomarcozeromacapa.com.br,AP,Macapá,,,,
WEB RÁDIO LITORAL SUL,http://www.webradiolitoralsul.com.br,SE,Itaporanga d'Ajuda,,,,
WEB RÁDIO ITATIM NOTÍCIAS,http://www.webradioitatimnoticias.com,BA,Itatim,,,,
WEB RáDIO GOIANéSIA,http://www.webradiogoianesia.com.br,PA,Goianésia do Pará,,,,
Web Rádio Fronteira,http://www.webradiofronteira.com.br,,,,,,
WEB RÁDIO BARRETOS,http://www.webradiobarretos.com.br,SP,Barretos,,,,
WEB RÁDIO CIDADE,http://www.webcidadego.com,GO,Goiânia,,,,
Walter Pinheiro - Portal,http://www.walterpinheiro.com.br,,,,,,
BLOG DO WALNEY BATISTA,http://www.walneybatista.com.br,MA,Lago da Pedra,,,,
WAGNER EM FOCO,http://www.wagneremfoco.com.br,BA,Wagner,,,,
Voz do Piraqueaçu,http://www.vozdopiraqueacu.com,,,,,,
VORTEX MEDIA,http://www.vortex.media,DF,Brasília,,,,
VOLT DATA LAB,http://www.voltdata.info,SP,São Paulo,,,,
Revista Azul Digital,http://www.voeazul.com.br,,,,,,
VOCÊ NOTÍCIAS,http://www.vocenoticias.com,SC,Canoinhas,,,,
Viver Maringá,http://www.vivermaringa.com.br,,,,,,
Revista Viva São Paulo Online,http://www.vivasaopaulo.facilite.com.br,,,,,,
VIVA NOTíCIAS,http://www.vivanoticias.com.br,PA,Capitão Poço,,,,
VIVA MT,http://www.vivamt.com.br,MT,Cuiabá,,,,
Visto Livre,http://www.vistolivre.com,,,,,,
VISÃO PIAUÍ,http://www.visaopiaui.com.br,PI,Barras,,,,
RÁDIO VISÃO,http://www.visaofm.com.br,GO,Posse,,,,
Visão Diária,http://www.visaodiaria.com.br,,,,,,
Virtual guia,http://www.virtualguia.com.br,,,,,,
Portal Virando Bixo,http://www.virandobixo.com.br,,,,,,
Prefeitura de Vinhedo,http://www.vinhedo.sp.gov.br,,,,,,
PREFEITURA DE VILA RICA - VILA RICA - MT,http://www.vilarica.mt.gov.br,MT,Vila Rica,,,,
VILA REAL FM,http://www.vilarealfm.com.br,MT,Cuiabá,,,,
RÁDIO VILA BOA FM,http://www.vilaboafm.com,GO,Goiás,,,,
