,titulos,description,datas,portal
0,"Intimidação do GSI revela plano de ditadura no Brasil, diz Tales","No UOL News, Tales Faria comentou esquema de intimidação do GSI a investigadores da PF que cuidavam de casos envolvendo Jair Bolsonaro e aliados.",2024-12-02 12:54:54,https://noticias.uol.com.br/politica/ultimas-noticias/2024/12/02/tales-intimidacao-do-gsi-revela-que-plano-era-instaurar-ditadura-no-brasil.htm
1,Líbano afirma que duas pessoas morreram em ataques israelenses apesar da trégua,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:54:08,https://noticias.uol.com.br/ultimas-noticias/reuters/2024/12/02/libano-afirma-que-duas-pessoas-morreram-em-ataques-israelenses-apesar-da-tregua.htm
2,"Mercado financeiro eleva previsão da inflação de 4,63% para 4,71%","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:54:02,https://noticias.uol.com.br/ultimas-noticias/agencia-brasil/2024/12/02/mercado-financeiro-eleva-previsao-da-inflacao-de-463-para-471.htm
3,"Atingido por ciclones, país faz apelo ambiental à ONU: 'Ameaça'","Além dos pequenos Estados insulares e países ocidentais e em desenvolvimento, tribunal também ouvirá os maiores emissores de gases de efeito estufa do mundo",2024-12-02 12:53:14,https://noticias.uol.com.br/ultimas-noticias/reuters/2024/12/02/vanuatu-pede-a-corte-mundial-que-reconheca-danos-causados-pelas-mudancas-climaticas.htm
4,Jatos russos e sírios bombardeiam Síria após tomada de Aleppo,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:50:25,https://noticias.uol.com.br/internacional/ultimas-noticias/2024/12/02/jatos-russos-e-sirios-bombardeiam-noroeste-da-siria-apos-tomada-de-aleppo.htm
5,Marinha cria comercial com ofensa aos patrocinadores,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:43:57,https://noticias.uol.com.br/colunas/josias-de-souza/2024/12/02/marinha-cria-comercial-com-ofensa-aos-patrocinadores.htm
6,"Tática do GSI foi usada para coagir delegados de casos de Bolsonaro, diz PF","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:39:36,https://noticias.uol.com.br/colunas/leticia-casado/2024/12/02/gsi-intimidar-delegados-bolsonaro.htm
7,De Olho no Mundo,Guerra civil na Síria,2024-12-02 12:35:45,https://noticias.uol.com.br/newsletters/uol-de-olho-no-mundo/2024/12/02/guerra-civil-na-siria.htm
8,Presidente da Síria denuncia tentativa de 'redesenhar' o mapa do Oriente Médio após ofensiva rebelde,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:29:13,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/presidente-da-siria-denuncia-tentativa-de-redesenhar-o-mapa-do-oriente-medio-apos-ofensiva-rebelde.htm
9,COP16 da ONU sobre desertificação começa na Arábia Saudita,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:29:13,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/cop16-da-onu-sobre-desertificacao-comeca-na-arabia-saudita.htm
10,China pede que EUA 'pare de se intrometer' em Taiwan,"Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:29:13,https://noticias.uol.com.br/ultimas-noticias/afp/2024/12/02/china-pede-que-eua-pare-de-se-intrometer-em-taiwan.htm
11,"De olho em Trump, Milei ameaça Mercosul e tenta minar poder do Brasil","Veja as principais notícias e manchetes do dia no Brasil e no Mundo. Leia textos e assista a vídeos de Política, Cotidiano, Crimes e mais.",2024-12-02 12:26:52,https://noticias.uol.com.br/colunas/jamil-chade/2024/12/02/de-olho-em-trump-milei-ameaca-mercosul-e-tenta-minar-influencia-do-brasil.htm
